,,Millimeters,,,,,,,,,
Game Title,# Cards,Width,Length,Type of Sleeve,# Packs,,,,,,
Ascension X: War of Shadows,177,63,88,Card Game (Green),2,,,,,,
Ascension: Chronicle of the Godslayer,200,63,88,Card Game (Green),2,,,,,,
Ascension: Darkness Unleashed,196,63.5,88,Card Game (Green),2,,,,,,
Ascension: Dawn of Champions (Large cards),4,110,155,?,1,,,,,,
Ascension: Dawn of Champions (Standard),193,63,88,Card Game (Green),2,,,,,,
Ascension: Immortal Heros,164,63.5,88,Card Game (Green),2,,,,,,
Ascension: Realms Unraveled,243,63,82.5,Card Game (Green),3,,,,,,
Ascension: Return of the Fallen,120,63.5,88,Card Game (Green),2,,,,,,
Ascension: Rise of Vigil,256,63.5,88,Card Game (Green),3,,,,,,
Ascension: Storm of Souls,200,63.5,88,Card Game (Green),2,,,,,,
Ascension: Year One Collector's Edition,379,63,88,Card Game (Green),4,,,,,,
Ascension: Year Two Collector's Edition,386,63,88,Card Game (Green),4,,,,,,
Ascension:Apprentice Edition,110,63,82.5,Card Game (Green),2,,,,,,
Asgard,40,63.6,88,Card Game (Green),1,,,,,,
Asgard's Chosen,180,56,87,Standard USA (Purple),2,,,,,,
Ashes: Rise of the Phoenixborn,267,63,88,Card Game (Green),3,,,,,,
Asking for Trobils,60,57,88,Chimera (Orange),1,,,,,,
Assassin's Creed: Arena,150,?,?,?,2,,,,,,
AssassinCon (Larger cards),6,70,120,Custom 7100  (War of the Ring),1,,,,,,
AssassinCon (Smaller cards),79,45,68,Mini Euro Sleeves,1,,,,,,
Assassinorum: Execution Force,,75,110,?,0,,,,,,
Assault on Doomrock Large Cards,50,57,88,Chimera (Orange),1,,,,,,
Assault on Hoth: The Empire Strikes Back,42,45,68,Mini Euro Sleeves,1,,,,,,
Assault: 19XX (Larger cards),26,112,173,?,1,,,,,,
